Date,EUR to USD Rate,TUR to USD Rate
10/10/2014,1.267708,0.440982
11/10/2014,1.26451,0.438126
12/10/2014,1.262802,0.436929
13/10/2014,1.262802,0.436929
14/10/2014,1.267425,0.440752
15/10/2014,1.266496,0.440545
16/10/2014,1.28059,0.440238
17/10/2014,1.28186,0.442419
18/10/2014,1.27705,0.444724
19/10/2014,1.275901,0.445276
20/10/2014,1.275901,0.445276
21/10/2014,1.27872,0.444874
22/10/2014,1.273391,0.445524
23/10/2014,1.266325,0.445435
24/10/2014,1.264545,0.44708
25/10/2014,1.266675,0.447888
26/10/2014,1.267002,0.447968
27/10/2014,1.267002,0.447968
28/10/2014,1.27169,0.448187
29/10/2014,1.274153,0.453648
30/10/2014,1.275509,0.456038
31/10/2014,1.261702,0.454672
1/11/2014,1.25333,0.450166
2/11/2014,1.252427,0.449861
3/11/2014,1.252427,0.449861
4/11/2014,1.248765,0.447283
5/11/2014,1.255475,0.449642
6/11/2014,1.24882,0.445517
7/11/2014,1.24079,0.443066
8/11/2014,1.242939,0.442576
9/11/2014,1.245601,0.442844
10/11/2014,1.245601,0.442844
11/11/2014,1.242884,0.442922
12/11/2014,1.24509,0.44239
13/11/2014,1.246455,0.444784
14/11/2014,1.247675,0.446101
15/11/2014,1.248806,0.44752
16/11/2014,1.252497,0.448511
17/11/2014,1.252497,0.448511
18/11/2014,1.2452,0.448599
19/11/2014,1.25365,0.450238
20/11/2014,1.254486,0.446937
21/11/2014,1.25253,0.449862
22/11/2014,1.23928,0.450185
23/11/2014,1.239104,0.450065
24/11/2014,1.239104,0.450065
25/11/2014,1.24351,0.448692
26/11/2014,1.247286,0.450369
27/11/2014,1.25061,0.452277
28/11/2014,1.24763,0.453197
29/11/2014,1.243951,0.450161
30/11/2014,1.245144,0.450457
1/12/2014,1.245144,0.450457
2/12/2014,1.24846,0.451535
3/12/2014,1.238605,0.448377
4/12/2014,1.2313,0.446066
5/12/2014,1.243317,0.448567
6/12/2014,1.230073,0.442107
7/12/2014,1.228599,0.442282
8/12/2014,1.228599,0.442282
9/12/2014,1.229876,0.440609
10/12/2014,1.24105,0.441809
11/12/2014,1.242231,0.44091
12/12/2014,1.240599,0.439404
13/12/2014,1.24686,0.434424
14/12/2014,1.2463,0.434972
15/12/2014,1.2463,0.434972
16/12/2014,1.24643,0.420536
17/12/2014,1.249645,0.425015
18/12/2014,1.24068,0.428626
19/12/2014,1.2286,0.430201
20/12/2014,1.22245,0.431723
21/12/2014,1.222957,0.432386
22/12/2014,1.222957,0.432386
23/12/2014,1.225325,0.432725
24/12/2014,1.21765,0.430984
25/12/2014,1.219225,0.431632
26/12/2014,1.219661,0.431561
27/12/2014,1.217345,0.4314
28/12/2014,1.219497,0.431537
29/12/2014,1.219497,0.431537
30/12/2014,1.218235,0.431472
31/12/2014,1.2173,0.429856
4/1/2015,1.200242,0.426474
5/1/2015,1.200242,0.426474
6/1/2015,1.19187,0.429141
7/1/2015,1.19341,0.43038
8/1/2015,1.182499,0.429723
9/1/2015,1.180855,0.434896
10/1/2015,1.18329,0.436077
11/1/2015,1.184294,0.435818
12/1/2015,1.184294,0.435818
13/01/2015,1.182715,0.437946
14/01/2015,1.17774,0.4379
15/01/2015,1.179955,0.438589
16/01/2015,1.160345,0.433828
17/01/2015,1.15172,0.427899
18/01/2015,1.156143,0.429916
19/01/2015,1.156143,0.429916
20/01/2015,1.162545,0.428281
21/01/2015,1.15645,0.425336
22/01/2015,1.158645,0.426574
23/01/2015,1.141395,0.431118
24/01/2015,1.126945,0.426054
25/01/2015,1.120593,0.425509
26/01/2015,1.120593,0.425509
27/01/2015,1.128315,0.426064
28/01/2015,1.136885,0.423978
29/01/2015,1.134235,0.420133
30/01/2015,1.130915,0.414735
31/01/2015,1.1293,0.409069
1/2/2015,1.1287,0.40868
2/2/2015,1.1287,0.40868
3/2/2015,1.133225,0.411418
4/2/2015,1.1456,0.416804
5/2/2015,1.142285,0.408909
6/2/2015,1.142385,0.409744
7/2/2015,1.134494,0.404613
8/2/2015,1.131395,0.404215
9/2/2015,1.131395,0.404215
10/2/2015,1.131701,0.403104
11/2/2015,1.13185,0.400364
12/2/2015,1.13043,0.399832
13/02/2015,1.141555,0.405081
14/02/2015,1.14104,0.405762
15/02/2015,1.138097,0.406995
16/02/2015,1.138602,0.406835
17/02/2015,1.13882,0.407992
18/02/2015,1.1391,0.40782
19/02/2015,1.13485,0.40711
20/02/2015,1.13915,0.408622
21/02/2015,1.136,0.407325
22/02/2015,1.137799,0.407549
23/02/2015,1.137799,0.407549
24/02/2015,1.134505,0.404301
25/02/2015,1.13305,0.403819
26/02/2015,1.136155,0.402558
27/02/2015,1.12168,0.400786
28/02/2015,1.119805,0.398208
1/3/2015,1.119495,0.398607
2/3/2015,1.119495,0.398607
3/3/2015,1.119305,0.396948
4/3/2015,1.120316,0.393978
5/3/2015,1.1072,0.390114
6/3/2015,1.100994,0.382926
7/3/2015,1.085977,0.379685
8/3/2015,1.084299,0.381106
9/3/2015,1.084299,0.381106
10/3/2015,1.085295,0.384008
11/3/2015,1.071445,0.379615
12/3/2015,1.05743,0.38326
13/03/2015,1.05941,0.384475
14/03/2015,1.05216,0.38062
15/03/2015,1.049593,0.378745
16/03/2015,1.049593,0.378745
17/03/2015,1.05992,0.381154
18/03/2015,1.0597,0.382747
19/03/2015,1.0652,0.382056
20/03/2015,1.06335,0.382782
21/03/2015,1.08333,0.388682
22/03/2015,1.082099,0.388493
23/03/2015,1.082099,0.388493
24/03/2015,1.09147,0.392292
25/03/2015,1.09185,0.390258
26/03/2015,1.0968,0.38699
27/03/2015,1.0914,0.385914
28/03/2015,1.09053,0.383624
29/03/2015,1.088998,0.383219
30/03/2015,1.088998,0.383219
31/03/2015,1.082265,0.383155
1/4/2015,1.07299,0.384737
2/4/2015,1.07804,0.385303
3/4/2015,1.08802,0.385902
4/4/2015,1.097496,0.388802
5/4/2015,1.0974,0.38893
6/4/2015,1.0974,0.38893
7/4/2015,1.098448,0.389914
8/4/2015,1.084441,0.384957
9/4/2015,1.08116,0.386642
10/4/2015,1.066,0.382141
11/4/2015,1.05887,0.380206
12/4/2015,1.060299,0.380436
13/04/2015,1.060901,0.380436
14/04/2015,1.05688,0.375395
15/04/2015,1.066975,0.371938
16/04/2015,1.068495,0.369299
17/04/2015,1.078615,0.371709
18/04/2015,1.07962,0.37199
19/04/2015,1.080596,0.37337
20/04/2015,1.080596,0.37337
21/04/2015,1.07336,0.370301
22/04/2015,1.075194,0.372266
23/04/2015,1.07372,0.368814
24/04/2015,1.083635,0.370046
25/04/2015,1.08545,0.367607
26/04/2015,1.087341,0.368375
27/04/2015,1.087341,0.368375
28/04/2015,1.08805,0.373785
29/04/2015,1.098165,0.376524
30/04/2015,1.1163,0.377527
1/5/2015,1.11946,0.374284
2/5/2015,1.119255,0.369428
3/5/2015,1.119695,0.369458
4/5/2015,1.119695,0.369458
5/5/2015,1.115,0.368542
6/5/2015,1.11958,0.369145
7/5/2015,1.134,0.370939
8/5/2015,1.12665,0.373202
9/5/2015,1.12314,0.370815
10/5/2015,1.119595,0.370987
11/5/2015,1.119595,0.370987
12/5/2015,1.11652,0.372141
13/05/2015,1.12222,0.375467
14/05/2015,1.13605,0.379829
15/05/2015,1.138045,0.385253
16/05/2015,1.1439,0.388157
17/05/2015,1.144839,0.38807
18/05/2015,1.144839,0.38807
19/05/2015,1.133765,0.388021
20/05/2015,1.11405,0.385692
21/05/2015,1.11085,0.387731
22/05/2015,1.112995,0.386093
23/05/2015,1.1014,0.385088
24/05/2015,1.101109,0.384689
25/05/2015,1.101109,0.384689
26/05/2015,1.0975,0.382253
27/05/2015,1.087449,0.378715
28/05/2015,1.089695,0.378131
29/05/2015,1.09365,0.376261
30/05/2015,1.098949,0.37587
31/05/2015,1.099119,0.375587
1/6/2015,1.099119,0.37553
2/6/2015,1.092955,0.372691
3/6/2015,1.117529,0.374014
4/6/2015,1.12486,0.372724
5/6/2015,1.12475,0.374782
6/6/2015,1.112199,0.374375
7/6/2015,1.111401,0.375954
8/6/2015,1.111401,0.375954
9/6/2015,1.125705,0.362338
10/6/2015,1.127825,0.363385
11/6/2015,1.1313,0.365791
12/6/2015,1.123655,0.369989
13/06/2015,1.127625,0.368192
14/06/2015,1.126101,0.368623
15/06/2015,1.126101,0.368623
16/06/2015,1.127,0.365537
17/06/2015,1.123865,0.365655
18/06/2015,1.125385,0.366034
19/06/2015,1.136465,0.368174
20/06/2015,1.1357,0.370576
21/06/2015,1.135602,0.371071
22/06/2015,1.135602,0.371071
23/06/2015,1.134147,0.374957
24/06/2015,1.11686,0.373118
25/06/2015,1.1213,0.374137
26/06/2015,1.1206,0.376929
27/06/2015,1.114715,0.375223
28/06/2015,1.116695,0.375164
29/06/2015,1.116695,0.375164
30/06/2015,1.1256,0.370982
1/7/2015,1.11406,0.372537
2/7/2015,1.10645,0.371294
3/7/2015,1.1084,0.372399
4/7/2015,1.10955,0.371602
5/7/2015,1.111401,0.371595
6/7/2015,1.111401,0.371955
7/7/2015,1.106655,0.37371
8/7/2015,1.09625,0.371485
9/7/2015,1.104975,0.373015
10/7/2015,1.09933,0.373226
11/7/2015,1.11305,0.374772
12/7/2015,1.115897,0.375002
13/07/2015,1.115897,0.374925
14/07/2015,1.1012,0.377702
15/07/2015,1.1009,0.379709
16/07/2015,1.09467,0.377858
17/07/2015,1.08819,0.376223
18/07/2015,1.084605,0.377243
19/07/2015,1.082995,0.376964
20/07/2015,1.082995,0.376964
21/07/2015,1.084215,0.370585
22/07/2015,1.0952,0.372473
23/07/2015,1.09098,0.368643
24/07/2015,1.101495,0.365749
25/07/2015,1.097845,0.365137
26/07/2015,1.0974,0.365297
27/07/2015,1.0974,0.365297
28/07/2015,1.1108,0.361353
29/07/2015,1.10593,0.362211
30/07/2015,1.104625,0.362255
31/07/2015,1.091245,0.358293
1/8/2015,1.100455,0.360807
2/8/2015,1.098394,0.36092
3/8/2015,1.098394,0.36092
4/8/2015,1.095595,0.359816
5/8/2015,1.091945,0.360172
6/8/2015,1.09039,0.358394
7/8/2015,1.092413,0.359847
8/8/2015,1.09743,0.359927
9/8/2015,1.0969,0.359583
10/8/2015,1.0969,0.359583
11/8/2015,1.102123,0.359598
12/8/2015,1.103351,0.359516
13/08/2015,1.117145,0.360642
14/08/2015,1.11364,0.355157
15/08/2015,1.111645,0.353294
16/08/2015,1.110698,0.353107
17/08/2015,1.110698,0.353107
18/08/2015,1.1078,0.348795
19/08/2015,1.10242,0.345338
20/08/2015,1.11082,0.34284
21/08/2015,1.11894,0.343479
22/08/2015,1.1361,0.342502
23/08/2015,1.138797,0.342548
24/08/2015,1.138797,0.342548
25/08/2015,1.1558,0.341215
26/08/2015,1.14375,0.340793
27/08/2015,1.13662,0.341052
28/08/2015,1.12439,0.343559
29/08/2015,1.12048,0.342122
30/08/2015,1.118105,0.342009
31/08/2015,1.118105,0.342009
1/9/2015,1.122725,0.343694
2/9/2015,1.131145,0.341605
3/9/2015,1.12425,0.339747
4/9/2015,1.113245,0.336835
5/9/2015,1.11573,0.332262
6/9/2015,1.114703,0.332557
7/9/2015,1.114703,0.332557
8/9/2015,1.11705,0.330115
9/9/2015,1.11805,0.332867
10/9/2015,1.1165,0.3292
11/9/2015,1.1285,0.3307
12/9/2015,1.1344,0.328127
13/09/2015,1.13362,0.328375
14/09/2015,1.13362,0.328375
15/09/2015,1.13125,0.32703
16/09/2015,1.12685,0.330109
17/09/2015,1.13025,0.333521
18/09/2015,1.1327,0.332884
